NUTS2,UKF1,Derbyshire and Nottinghamshire,24100,24622,25372,25771,26958,28206,29569,31308,33940,35423,36545,37289,35802,37356,39274,40238,41654,43135,44090
NUTS3,UKF11,Derby,3495,3533,3879,4006,4163,4365,4353,4684,5141,5285,5434,5568,5417,5709,5970,6242,6629,6723,6932
NUTS3,UKF12,East Derbyshire,2445,2519,2601,2615,2733,2937,3190,3282,3533,3788,3960,3982,3811,3984,4418,4531,4738,4928,5162
NUTS3,UKF13,South and West Derbyshire,5491,5536,5670,5425,5758,5977,6432,6946,7335,7789,7896,7952,7212,7885,8402,8652,9149,9209,9216
NUTS3,UKF14,Nottingham,5095,5260,5030,5170,5541,5713,5854,6399,6809,6780,7062,7455,7546,7786,7922,8011,7942,8512,8816
NUTS3,UKF15,North Nottinghamshire,4365,4529,4698,4835,4932,5134,5513,5812,6355,6746,7075,7291,6848,7126,7648,7666,7700,8069,8147
NUTS3,UKF16,South Nottinghamshire,3209,3246,3494,3720,3830,4080,4227,4186,4766,5035,5117,5040,4967,4866,4914,5136,5497,5695,5817
NUTS2,UKF2,Leicestershire Rutland and Northamptonshire,21252,21759,21969,23240,24004,24894,27088,28259,29667,31601,33730,34264,32999,34379,34462,35634,37317,39330,39929
NUTS3,UKF21,Leicester,3967,4097,4190,4301,4458,4764,5128,5325,5518,5840,5887,5998,5923,6030,6217,6573,6725,7113,7473
NUTS3,UKF22,Leicestershire CC and Rutland,8721,8865,8437,8975,9390,9716,10704,11212,11929,12733,13668,13679,13219,13662,13682,14229,14773,15952,16186
NUTS3,UKF24,West Northamptonshire,5095,5250,5570,5995,6093,6214,6740,7012,7297,7792,8484,8660,8258,8795,8682,9022,9534,9900,9743
NUTS3,UKF25,North Northamptonshire,3468,3548,3772,3970,4063,4200,4516,4711,4923,5236,5691,5927,5598,5891,5881,5811,6285,6366,6527
NUTS2,UKF3,Lincolnshire,7447,7679,7588,7842,8544,8989,9913,9728,10098,10756,11289,11793,11201,11733,12021,12404,13064,13679,13869
NUTS3,UKF30,Lincolnshire,7447,7679,7588,7842,8544,8989,9913,9728,10098,10756,11289,11793,11201,11733,12021,12404,13064,13679,13869
NUTS1,UKG,West Midlands,67621,70840,73751,75178,77160,80589,85113,89787,93600,98089,100892,102054,97937,101324,104037,108004,111830,117147,119769
NUTS2,UKG1,Herefordshire Worcestershire and Warwickshire,15598,16294,17869,18336,18464,19025,20609,22042,22737,24577,24751,25313,24144,25122,26038,27477,28937,30447,30798
NUTS3,UKG11,Herefordshire County of,2045,2044,2226,2331,2360,2423,2673,2801,2938,3140,3225,3393,3144,3252,3405,3609,3636,3820,3883
NUTS3,UKG12,Worcestershire,5900,6386,7258,7769,7683,7611,8492,9469,9315,9995,9845,9898,9431,9780,10158,10586,10922,11516,11796
NUTS3,UKG13,Warwickshire,7653,7863,8384,8235,8421,8991,9444,9772,10484,11442,11682,12023,11569,12090,12476,13282,14379,15110,15119
NUTS2,UKG2,Shropshire and Staffordshire,17742,18607,18821,18971,19461,20764,21984,23517,24413,25539,26344,27248,25824,26749,27420,27979,28714,29493,29630
NUTS3,UKG21,Telford and Wrekin,2310,2415,2389,2334,2398,2619,2685,2858,2949,3133,3237,3303,3051,3112,3291,3529,3526,3564,3633
NUTS3,UKG22,Shropshire CC,3184,3333,3520,3521,3628,3971,4406,4726,4809,4847,5053,5376,5292,5398,5551,5667,5901,6000,6009
NUTS3,UKG23,Stoke-on-Trent,2993,3095,3091,3111,3045,3052,3339,3500,3587,3782,3796,3948,3842,4142,4308,4542,4672,4765,4763
NUTS3,UKG24,Staffordshire CC,9256,9764,9820,10005,10391,11122,11553,12433,13069,13777,14258,14621,13640,14097,14270,14241,14614,15164,15225
NUTS2,UKG3,West Midlands,34281,35938,37062,37872,39234,40800,42520,44227,46450,47973,49797,49492,47968,49453,50579,52547,54179,57207,59341
NUTS3,UKG31,Birmingham,13415,14335,14940,15205,16188,16478,17577,18027,18897,19420,20552,20743,20366,20795,21424,21762,22644,23583,24790
NUTS3,UKG32,Solihull,3500,3631,3723,3703,3847,4162,4543,4594,4877,5166,5405,5133,4959,5082,5089,5572,5690,6169,6672
NUTS3,UKG33,Coventry,4610,4657,4884,4991,5087,5315,5532,5769,6121,6115,6102,6000,5837,6095,6231,6639,7082,7567,7655
NUTS3,UKG36,Dudley,3376,3510,3581,3696,3760,4065,4039,4224,4426,4625,4766,4728,4388,4414,4453,4581,4601,4837,4988
NUTS3,UKG37,Sandwell,3648,3789,3700,3847,3874,4117,4141,4324,4472,4756,5003,4951,4743,4917,4940,5306,5369,5775,5847
NUTS3,UKG38,Walsall,2744,2893,2969,3065,3061,3138,3146,3437,3597,3697,3732,3729,3599,3815,3994,4100,4245,4579,4765
NUTS3,UKG39,Wolverhampton,2987,3124,3265,3365,3418,3525,3543,3852,4061,4195,4237,4208,4076,4336,4449,4588,4547,4697,4625
NUTS1,UKH,East of England,75484,78783,81303,86758,90925,94998,101881,104952,109833,116373,120204,124558,119990,122728,124885,128469,134692,141806,145651
NUTS2,UKH1,East Anglia,30158,30982,31941,34034,35737,37076,39583,41499,43378,47225,48346,49597,48107,49638,51104,53244,55242,57867,59661
NUTS3,UKH11,Peterborough,2592,2646,2790,2804,2901,3087,3345,3634,3784,4235,4453,4374,4394,4519,4527,4796,4976,5219,5382
NUTS3,UKH12,Cambridgeshire CC,8341,8684,9114,9821,10459,10722,11267,11717,12438,13784,14439,14830,14202,14933,15627,16431,16997,18026,18832
NUTS3,UKH14,Suffolk,9417,9525,9416,10360,10823,11231,11998,12456,12697,13814,14073,14646,13943,14478,14843,15121,15886,16598,16901
NUTS3,UKH15,Norwich and East Norfolk,4527,4718,4910,5073,5282,5505,5978,6410,6936,7527,7487,7424,7505,7390,7390,7772,8053,8262,8499
NUTS3,UKH16,North and West Norfolk,2712,2773,2927,3051,3206,3355,3588,3739,3869,3994,4005,4218,4011,4063,4157,4292,4470,4604,4742
